,demand,photovoltaic,wind,ecars
tX1,42558,0,8657,0.34867099
tX2,41620,0,8827,0.19410319
tX3,40611,0,9081,0.10297074
tX4,38809,0,9091,0.04936341
tX5,38411,0,9167,0.02859057
tX6,37426,0,9238,0.02970739
tX7,36115,0,9698,0.11279875
tX8,36229,0,10331,0.27764128
tX9,36529,52,10211,0.52579853
tX10,38909,771,10033,0.46012955
tX11,41173,2115,10551,0.3473308
tX12,43186,3363,11394,0.27697119
tX13,45225,4196,12107,0.33616261
tX14,44375,3499,12509,0.41255305
tX15,43602,2277,11924,0.46817065
tX16,43547,744,11860,0.48157248
tX17,45734,49,13593,0.57203484
tX18,49478,0,15445,0.75429975
tX19,48977,0,16872,0.92316283
tX20,48013,0,18025,1
tX21,46133,0,19208,0.9412553
tX22,44470,0,20384,0.76100067
tX23,48237,0,21266,0.58431986
tX24,46446,0,22104,0.47554166
tX25,44427,0,22512,0.34867099
tX26,43542,0,23489,0.19410319
tX27,42916,0,24319,0.10297074
tX28,42744,0,25143,0.04936341
tX29,42666,0,25808,0.02859057
tX30,44044,0,26232,0.02970739
tX31,45986,0,26418,0.11279875
tX32,48692,0,26278,0.27764128
tX33,52277,36,26742,0.52579853
tX34,54975,252,26067,0.46012955
tX35,56962,665,25723,0.3473308
tX36,58350,1261,25859,0.27697119
tX37,58446,1725,25762,0.33616261
tX38,58011,1898,25877,0.41255305
tX39,57017,1350,25424,0.46817065
tX40,55770,514,25114,0.48157248
tX41,56859,43,24810,0.57203484
tX42,59224,0,24388,0.75429975
tX43,59478,0,25101,0.92316283
tX44,57265,0,24831,1
tX45,54888,0,24295,0.9412553
tX46,53277,0,24375,0.76100067
tX47,52592,0,24559,0.58431986
tX48,47936,0,24615,0.47554166
tX49,44514,0,24086,0.34867099
tX50,42804,0,23302,0.19410319
tX51,41199,0,22135,0.10297074
tX52,40274,0,20919,0.04936341
tX53,39691,0,20300,0.02859057
tX54,39866,0,20537,0.02970739
tX55,41833,0,21377,0.11279875
tX56,43941,0,22018,0.27764128
tX57,46584,72,23040,0.52579853
tX58,49102,607,23479,0.46012955
tX59,50842,1276,23146,0.3473308
tX60,52840,1698,23291,0.27697119
tX61,53722,1616,22926,0.33616261
tX62,53654,1153,21270,0.41255305
tX63,52645,584,19496,0.46817065
tX64,52415,193,17532,0.48157248
tX65,54662,20,16097,0.57203484
